año	país	créditos
2009	IN	139195
2009	IQ	0
2009	IR	0
2009	JM	0
2009	JO	0
2009	KE	517326
2009	KG	0
2009	KH	0
2009	KI	0
2009	KM	0
2009	KN	0
2009	KP	0
2009	KZ	1351751
2009	LA	0
2009	LB	0
2009	LC	0
2009	LK	0
2009	LR	0
2009	LS	0
2009	LY	0
2009	MA	21091878
2009	MD	0
2009	ME	0
2009	MG	0
2009	MH	0
2009	MK	0
2009	ML	0
2009	MM	0
2009	MN	1221238
2009	MR	0
2009	MS	0
2009	MU	0
2009	MV	0
2009	MW	0
2009	MX	26994040
2009	MY	0
2009	MZ	82490
2009	NA	2661005
2009	NE	0
2009	NG	0
2009	NP	0
2009	NR	0
2009	NU	0
2009	OM	0
2009	PA	1566099
2009	PE	4394181
2009	PG	0
2009	PH	53844713
2009	PK	0
2009	PS	0
2009	PW	0
2009	PY	1296083
2009	RS	0
2009	RW	0
2009	SB	0
2009	SC	0
2009	SD	0
2009	SH	0
2009	SL	0
2009	SN	0
2009	SO	0
2009	SR	0
2009	ST	0
2009	SV	1476219
2009	SY	0
2009	SZ	0
2009	TD	742109
2009	TG	0
2009	TH	0
2009	TJ	0
2009	TL	0
2009	TM	0
2009	TN	4554806
2009	TO	0
2009	TR	720070
2009	TT	0
2009	TV	0
2009	TZ	10451440
2009	UA	0
2009	UG	6361648
2009	UY	3163546
2009	UZ	0
2009	VC	0
2009	VE	0
2009	VN	1851550
2009	VU	0
2009	WF	0
2009	WS	0
2009	XK	0
2009	YE	0
2009	YT	0
2009	ZA	0
2009	ZM	0
2009	ZW	0
2010	AF	0
2010	AG	0
2010	AL	0
2010	AM	0
2010	AO	5959197
2010	AR	9497521
2010	AZ	0
2010	BA	500000
2010	BB	0
2010	BD	338886
2010	BF	0
2010	BI	0
2010	BJ	0
2010	BO	59344471
2010	BR	0
2010	BT	0
2010	BW	0
2010	BY	0
2010	BZ	0
2010	CD	0
2010	CF	0
2010	CG	0
2010	CI	9471070
2010	CK	0
2010	CL	0
2010	CM	0
2010	CN	28454989
2010	CO	6123395
2010	CR	1431077
2010	CU	0
2010	CV	0
2010	DJ	239645
2010	DM	0
2010	DO	3461141
2010	DZ	5012463
2010	EC	15610291
2010	EG	452234
2010	EH	0
2010	ER	0
2010	ET	0
2010	FJ	0
2010	FM	0
2010	GA	0
2010	GD	0
2010	GE	0
2010	GH	3356954
2010	GM	0
2010	GN	0
2010	GQ	0
2010	GT	0
2010	GW	0
2010	GY	0
2010	HN	145321
2010	HR	0
2010	HT	0
2010	ID	16477614
2010	IN	146348
2010	IQ	0
2010	IR	0
2010	JM	0
2010	JO	0
2010	KE	541024
2010	KG	0
2010	KH	0
2010	KI	0
2010	KM	0
2010	KN	0
2010	KP	0
2010	KZ	0
2010	LA	0
2010	LB	0
2010	LC	0
2010	LK	1220606
2010	LR	0
2010	LS	0
2010	LY	0
2010	MA	22056898
2010	MD	0
2010	ME	0
2010	MG	0
2010	MH	0
2010	MK	0
2010	ML	0
2010	MM	0
2010	MN	610619
2010	MR	0
2010	MS	0
2010	MU	0
2010	MV	0
2010	MW	0
2010	MX	30182628
2010	MY	0
2010	MZ	12844913
2010	NA	305777
2010	NE	0
2010	NG	0
2010	NP	0
2010	NR	0
2010	NU	0
2010	OM	0
2010	PA	2343257
2010	PE	2691674
2010	PG	0
2010	PH	4652957
2010	PK	0
2010	PS	0
2010	PW	0
2010	PY	1204214
2010	RS	1000000
2010	RW	0
2010	SB	0
2010	SC	1381569
2010	SD	0
2010	SH	0
2010	SL	0
2010	SN	0
2010	SO	0
2010	SR	0
2010	ST	0
2010	SV	1726823
2010	SY	0
2010	SZ	0
2010	TD	96000
2010	TG	0
2010	TH	0
2010	TJ	0
2010	TK	0
2010	TL	0
2010	TM	0
2010	TN	4515227
2010	TO	0
2010	TR	1120848
2010	TT	0
2010	TV	0
2010	TZ	0
2010	UA	0
2010	UG	856718
2010	UY	3272177
2010	UZ	0
2010	VC	0
2010	VE	1253305
2010	VN	2155133
2010	VU	0
2010	WF	0
2010	WS	0
2010	XK	0
2010	YE	320592
2010	YT	0
