año	país	deuda
2009	ID	39152086
2009	IN	51214619
2009	IQ	4797942
2009	IR	4187646
2009	JM	5951074
2009	JO	15543571
2009	KE	51267868
2009	KG	5027502
2009	KH	26238583
2009	KI	372226
2009	KM	1313111
2009	KN	623535
2009	KP	2820655
2009	KZ	2219913
2009	LA	5431396
2009	LB	26141864
2009	LC	979323
2009	LK	24342595
2009	LR	10608162
2009	LS	9631609
2009	LY	328332
2009	MA	187981155
2009	MD	7076912
2009	ME	2469288
2009	MG	20871740
2009	MH	102202
2009	MK	5710930
2009	ML	31391477
2009	MM	6274777
2009	MN	1790135
2009	MR	37000979
2009	MS	92584
2009	MU	6161068
2009	MV	253861
2009	MW	19443455
2009	MX	18001004
2009	MY	300419
2009	MZ	71280092
2009	NA	118579841
2009	NE	29693226
2009	NG	21587710
2009	NP	42667703
2009	NR	90828
2009	NU	96076
2009	OM	24603
2009	PA	6402229
2009	PE	79827684
2009	PG	3135816
2009	PH	38680462
2009	PK	24118707
2009	PS	119877221
2009	PW	76806
2009	PY	30512030
2009	RS	27977818
2009	RW	31730062
2009	SB	439683
2009	SC	48797
2009	SD	40915621
2009	SH	593795
2009	SL	8273973
2009	SN	58219823
2009	SO	48104227
2009	SR	1579744
2009	ST	1620767
2009	SV	93590871
2009	SY	8043738
2009	SZ	2588807
2009	TD	21485494
2009	TG	9082302
2009	TH	5194934
2009	TJ	8744266
2009	TL	10124272
2009	TM	413766
2009	TN	108671883
2009	TO	114946
2009	TR	180449770
2009	TT	556041
2009	TV	49101
2009	TZ	58022521
2009	UA	17579924
2009	UG	36802280
2009	UY	12759904
2009	UZ	2255411
2009	VC	829913
2009	VE	9801707
2009	VN	49696019
2009	VU	245371
2009	WF	43574
2009	WS	761831
2009	XK	688987
2009	YE	8380164
2009	YT	48269
2009	ZA	13965642
2009	ZM	20902587
2009	ZW	10326434
2010	AF	78004582
2010	AG	71653
2010	AL	8469551
2010	AM	7094514
2010	AO	13978150
2010	AR	28564360
2010	AZ	1915470
2010	BA	20711407
2010	BB	497843
2010	BD	27395773
2010	BF	26785791
2010	BI	24445648
2010	BJ	12945959
2010	BO	117397117
2010	BR	22027881
2010	BT	1424923
2010	BW	2132020
2010	BY	977075
2010	BZ	800881
2010	CD	55310323
2010	CF	15041543
2010	CG	210016430
2010	CI	13718234
2010	CK	123046
2010	CL	10030898
2010	CM	13863676
2010	CN	42420194
2010	CO	52006677
2010	CR	5914055
2010	CU	33468548
2010	CV	17689342
2010	DJ	1729806
2010	DM	1338067
2010	DO	46062572
2010	DZ	17318262
2010	EC	62534530
2010	EG	18960559
2010	EH	22154595
2010	ER	4552356
2010	ET	73261063
2010	FJ	1025300
2010	FM	95863
2010	GA	1127841
2010	GD	958627
2010	GE	16371366
2010	GH	33721931
2010	GM	5227743
2010	GN	5320656
2010	GQ	15298752
2010	GT	72501766
2010	GW	10968348
2010	GY	3636107
2010	HN	56133773
2010	HR	8055869
2010	HT	135558891
2010	ID	24305811
2010	IN	45779890
2010	IQ	4624032
2010	IR	540301
2010	JM	7078827
2010	JO	12224361
2010	KE	20435367
2010	KG	4757853
2010	KH	24027402
2010	KI	126342
2010	KM	1094951
2010	KN	169896
2010	KP	1855008
2010	KZ	1668530
2010	LA	3407815
2010	LB	22552194
2010	LC	1021043
2010	LK	11531781
2010	LR	6709744
2010	LS	2373242
2010	LY	355603
2010	MA	107329353
2010	MD	7103650
2010	ME	4476114
2010	MG	6859499
2010	MH	81358
2010	MK	3549064
2010	ML	32869489
2010	MM	6538338
2010	MN	3057437
2010	MR	30139940
2010	MS	323965
2010	MU	5667038
2010	MV	529062
2010	MW	11874719
2010	MX	35065514
2010	MY	357506
2010	MZ	64615539
2010	NA	95632113
2010	NE	29163886
2010	NG	28242718
2010	NP	7704285
2010	NR	53074
2010	NU	25308
2010	OM	24830
2010	PA	7017402
2010	PE	97424002
2010	PG	5504670
2010	PH	29919834
2010	PK	52651700
2010	PS	113447948
2010	PW	34352
2010	PY	19913647
2010	RS	19168711
2010	RW	14780679
2010	SB	254533
2010	SC	1499844
2010	SD	34785571
2010	SH	88231
2010	SL	10115050
2010	SN	46824641
2010	SO	12585985
2010	SR	1737676
2010	ST	1332205
2010	SV	67998597
2010	SY	8154391
2010	SZ	1991522
2010	TD	16864976
2010	TG	5895703
2010	TH	3440910
2010	TJ	3727390
2010	TK	7500
2010	TL	5862486
2010	TM	352621
2010	TN	130393371
2010	TO	71816
2010	TR	89272791
2010	TT	196075
2010	TV	23755
2010	TZ	30169299
2010	UA	12168443
2010	UG	23797881
