"nombre","código"
"ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS",""
"ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS",""
"MAGREB, NO ESPECIFICADOS",""
"MEDITERRÁNEO, NO ESPECIFICADOS",""
"PAÍSES DE LA CARICOM, NO ESPECIFICADOS",""
"PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS",""
