"nombre","código"
"AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS","021"
"AMÉRICA DEL SUR, NO ESPECIFICADOS","005"
"ASIA CENTRAL, NO ESPECIFICADOS","143"
"ASIA ORIENTAL, NO ESPECIFICADOS","030"
"ASIA SUR, NO ESPECIFICADOS","034"
"NORTE DE ÁFRICA, NO ESPECIFICADOS","015"
"ORIENTE MEDIO, NO ESPECIFICADOS","145"
