"nombre","código"
"ÁFRICA, NO ESPECIFICADOS","002"
"AMÉRICA, NO ESPECIFICADOS","019"
"ASIA, NO ESPECIFICADOS","142"
"EUROPA, NO ESPECIFICADOS","150"
"OCEANÍA, NO ESPECIFICADOS","009"
